ground_truth_id,true_name,country,rating,review_date,posting_hour,review_length,avg_word_length,exclamation_count,day_of_week
R00002,Stephanie Smith,US,2,2021-11-15,19,122,5.21,3,Monday
R00002,Stephanie Smith,US,1,2022-03-17,23,86,5.34,2,Thursday
R00002,Stephanie Smith,US,2,2022-11-21,19,80,4.79,0,Monday
R00002,Stephanie Smith,US,2,2021-07-29,17,95,4.81,0,Thursday
R00003,Jennifer Harris,DE,3,2021-07-18,8,72,5.4,0,Sunday
R00003,Jennifer Harris,DE,3,2023-01-06,12,80,5.04,0,Friday
R00003,Jennifer Harris,DE,4,2022-12-06,9,55,5.42,2,Tuesday
R00003,Jennifer Harris,DE,3,2024-05-21,13,70,4.76,1,Tuesday
R00003,Jennifer Harris,DE,3,2022-06-26,13,89,4.86,0,Sunday
R00003,Jennifer Harris,DE,3,2021-03-30,4,134,4.71,0,Tuesday
R00003,Jennifer Harris,DE,3,2023-07-30,6,91,5.84,1,Sunday
R00003,Jennifer Harris,DE,3,2024-01-04,8,107,5.18,0,Thursday
R00003,Jennifer Harris,DE,4,2021-09-13,4,147,4.55,1,Monday
R00003,Jennifer Harris,DE,3,2023-02-15,6,84,4.99,1,Wednesday
R00003,Jennifer Harris,DE,3,2021-06-11,10,99,4.93,0,Friday
R00003,Jennifer Harris,DE,3,2024-02-05,9,72,5.4,0,Monday
R00004,Charles Green,IN,1,2024-06-20,14,57,4.79,3,Thursday
R00004,Charles Green,IN,1,2023-01-11,7,40,5.04,2,Wednesday
R00004,Charles Green,IN,2,2024-03-28,8,62,4.06,2,Thursday
R00004,Charles Green,IN,3,2022-01-29,13,52,4.44,0,Saturday
R00004,Charles Green,IN,1,2021-05-23,9,67,4.86,0,Sunday
R00004,Charles Green,IN,2,2021-04-04,5,36,4.48,2,Sunday
R00004,Charles Green,IN,1,2022-04-12,10,63,4.49,0,Tuesday
R00004,Charles Green,IN,1,2022-08-16,12,47,4.85,2,Tuesday
R00004,Charles Green,IN,3,2021-06-13,10,71,4.71,1,Sunday
R00004,Charles Green,IN,2,2022-04-22,13,64,5.37,2,Friday
R00004,Charles Green,IN,2,2021-07-26,14,66,5.35,1,Monday
R00004,Charles Green,IN,1,2023-02-18,3,53,4.46,4,Saturday
R00005,Sarah Robinson,DE,4,2024-07-25,8,270,5.62,1,Thursday
R00005,Sarah Robinson,DE,3,2023-01-18,8,268,5.63,6,Wednesday
R00005,Sarah Robinson,DE,2,2021-11-30,8,258,5.69,0,Tuesday
R00005,Sarah Robinson,DE,4,2023-01-29,14,187,5.45,2,Sunday
R00005,Sarah Robinson,DE,4,2022-12-29,8,403,6.06,2,Thursday
R00005,Sarah Robinson,DE,5,2022-03-06,11,217,5.44,0,Sunday
R00005,Sarah Robinson,DE,4,2022-07-01,1,160,4.93,1,Friday
R00005,Sarah Robinson,DE,5,2024-08-20,8,371,5.12,2,Tuesday
R00006,Robert Hill,NG,1,2024-07-24,23,129,5.23,0,Wednesday
R00006,Robert Hill,NG,1,2021-12-17,20,108,5.33,0,Friday
R00006,Robert Hill,NG,1,2023-12-30,21,44,5.33,0,Saturday
R00006,Robert Hill,NG,1,2022-05-17,19,151,5.33,0,Tuesday
R00006,Robert Hill,NG,1,2021-12-01,19,167,5.2,0,Wednesday
R00006,Robert Hill,NG,1,2023-08-05,17,201,5.85,0,Saturday
R00006,Robert Hill,NG,1,2023-02-17,23,100,5.37,0,Friday
R00006,Robert Hill,NG,2,2022-07-07,21,101,4.88,0,Thursday
R00006,Robert Hill,NG,1,2024-08-03,21,140,5.04,0,Saturday
R00006,Robert Hill,NG,1,2024-02-15,23,180,5.36,0,Thursday
R00007,Joseph Baker,GB,5,2022-10-27,16,100,4.34,1,Thursday
R00007,Joseph Baker,GB,3,2021-04-25,19,126,4.44,3,Sunday
R00007,Joseph Baker,GB,5,2022-04-15,18,182,4.95,2,Friday
R00007,Joseph Baker,GB,4,2021-03-07,13,57,4.48,0,Sunday
R00007,Joseph Baker,GB,4,2022-10-09,19,74,4.55,2,Sunday
R00007,Joseph Baker,GB,4,2023-04-02,16,147,4.29,3,Sunday
R00007,Joseph Baker,GB,3,2022-07-03,15,132,4.4,2,Sunday
R00007,Joseph Baker,GB,5,2021-05-16,18,129,4.94,1,Sunday
R00007,Joseph Baker,GB,5,2022-03-09,19,102,4.37,3,Wednesday
R00008,Joshua Rivera,FR,5,2022-10-07,9,121,5.38,0,Friday
R00008,Joshua Rivera,FR,5,2022-03-12,12,97,5.52,1,Saturday
R00008,Joshua Rivera,FR,5,2024-09-04,10,83,5.57,0,Wednesday
R00008,Joshua Rivera,FR,4,2023-10-20,16,124,5.22,1,Friday
R00008,Joshua Rivera,FR,5,2023-03-22,15,96,5.2,1,Wednesday
R00008,Joshua Rivera,FR,4,2024-08-09,15,145,4.84,0,Friday
R00008,Joshua Rivera,FR,5,2023-07-29,7,161,5.52,0,Saturday
R00008,Joshua Rivera,FR,5,2021-10-20,12,199,5.26,2,Wednesday
R00008,Joshua Rivera,FR,5,2022-06-27,13,119,5.09,0,Monday
R00008,Joshua Rivera,FR,5,2021-10-13,8,174,5.38,1,Wednesday
R00008,Joshua Rivera,FR,5,2022-05-21,18,129,5.15,0,Saturday
R00008,Joshua Rivera,FR,5,2024-02-24,9,56,5.57,0,Saturday
R00009,Paul Taylor,US,2,2024-04-12,14,51,4.68,2,Friday
R00009,Paul Taylor,US,3,2023-05-28,13,71,4.68,0,Sunday
R00009,Paul Taylor,US,5,2024-04-10,10,95,3.93,1,Wednesday
R00009,Paul Taylor,US,2,2023-03-29,13,73,4.65,2,Wednesday
R00009,Paul Taylor,US,2,2023-01-12,16,86,5.11,0,Thursday
R00009,Paul Taylor,US,3,2022-03-26,11,69,4.69,0,Saturday
R00009,Paul Taylor,US,2,2021-10-11,14,62,4.61,3,Monday
R00009,Paul Taylor,US,2,2023-11-10,14,79,4.63,0,Friday
R00009,Paul Taylor,US,2,2023-10-08,16,42,4.48,1,Sunday
R00009,Paul Taylor,US,4,2021-07-06,10,92,4.07,1,Tuesday
R00010,Ronald Brown,MX,1,2021-08-13,8,202,4.14,3,Friday
R00010,Ronald Brown,MX,3,2021-11-10,19,288,4.33,2,Wednesday
R00010,Ronald Brown,MX,3,2024-07-09,11,197,4.79,0,Tuesday
R00010,Ronald Brown,MX,1,2021-11-24,8,230,4.17,2,Wednesday
R00010,Ronald Brown,MX,1,2023-05-15,10,351,4.78,1,Monday
R00010,Ronald Brown,MX,3,2024-05-06,11,203,5.4,2,Monday
R00010,Ronald Brown,MX,2,2021-05-11,14,176,5.22,1,Tuesday
R00010,Ronald Brown,MX,2,2023-02-28,15,227,4.31,1,Tuesday
R00010,Ronald Brown,MX,4,2023-02-21,8,182,4.95,4,Tuesday
R00011,Kenneth Robinson,US,3,2023-12-20,12,202,4.91,1,Wednesday
R00011,Kenneth Robinson,US,3,2022-05-30,7,174,4.81,0,Monday
R00011,Kenneth Robinson,US,3,2024-02-08,14,184,4.94,1,Thursday
R00011,Kenneth Robinson,US,3,2021-01-24,13,252,4.99,1,Sunday
R00011,Kenneth Robinson,US,4,2021-08-23,9,274,4.7,1,Monday
R00011,Kenneth Robinson,US,4,2024-01-05,10,99,4.38,1,Friday
R00011,Kenneth Robinson,US,3,2022-07-01,6,139,4.59,0,Friday
R00011,Kenneth Robinson,US,3,2024-08-05,10,293,4.6,0,Monday
R00011,Kenneth Robinson,US,3,2022-11-28,6,339,4.7,0,Monday
R00011,Kenneth Robinson,US,3,2021-08-17,11,217,5.64,0,Tuesday
R00011,Kenneth Robinson,US,3,2022-08-25,7,233,4.72,1,Thursday
R00011,Kenneth Robinson,US,3,2023-06-10,4,248,5.22,0,Saturday
R00011,Kenneth Robinson,US,3,2021-11-20,12,212,4.45,2,Saturday
R00011,Kenneth Robinson,US,3,2023-07-19,11,233,5.23,1,Wednesday
R00012,James Campbell,GB,3,2022-06-24,16,58,4.66,1,Friday
R00012,James Campbell,GB,2,2023-10-23,15,100,5.27,1,Monday
R00012,James Campbell,GB,2,2022-01-01,15,129,4.95,2,Saturday
R00012,James Campbell,GB,2,2023-11-06,13,92,5.51,0,Monday
R00012,James Campbell,GB,1,2021-08-06,14,99,5.08,0,Friday
R00012,James Campbell,GB,2,2024-07-04,14,90,4.74,0,Thursday
R00012,James Campbell,GB,2,2022-09-04,16,94,5.23,0,Sunday
R00012,James Campbell,GB,1,2024-08-01,13,96,5.33,0,Thursday
R00012,James Campbell,GB,2,2023-11-06,14,99,5.09,0,Monday
R00012,James Campbell,GB,1,2024-06-01,14,70,5.51,0,Saturday
R00012,James Campbell,GB,1,2022-02-12,14,74,5.11,1,Saturday
R00012,James Campbell,GB,1,2021-11-10,11,78,4.78,1,Wednesday
R00012,James Campbell,GB,1,2023-02-05,15,123,5.08,1,Sunday
R00013,Ronald Hernandez,GB,2,2024-01-10,10,300,4.63,2,Wednesday
R00013,Ronald Hernandez,GB,2,2023-12-23,15,294,4.91,1,Saturday
R00013,Ronald Hernandez,GB,2,2021-01-02,17,274,4.27,0,Saturday
R00013,Ronald Hernandez,GB,1,2024-05-11,12,225,5.0,0,Saturday
R00013,Ronald Hernandez,GB,2,2022-10-26,0,146,4.92,2,Wednesday
R00013,Ronald Hernandez,GB,2,2023-09-28,8,256,4.58,1,Thursday
R00013,Ronald Hernandez,GB,3,2021-02-09,10,322,5.23,0,Tuesday
R00013,Ronald Hernandez,GB,2,2021-08-18,2,257,4.49,0,Wednesday
R00013,Ronald Hernandez,GB,2,2023-01-14,7,294,4.38,1,Saturday
R00013,Ronald Hernandez,GB,2,2022-09-22,8,301,4.46,1,Thursday
R00013,Ronald Hernandez,GB,3,2022-05-06,11,311,4.9,1,Friday
R00014,Patricia Thomas,DE,5,2024-03-07,18,228,5.5,1,Thursday
R00014,Patricia Thomas,DE,5,2021-06-11,13,199,4.46,0,Friday
R00014,Patricia Thomas,DE,5,2021-06-25,15,85,4.74,1,Friday
R00014,Patricia Thomas,DE,5,2023-09-23,12,95,4.68,1,Saturday
R00014,Patricia Thomas,DE,5,2021-05-22,19,168,4.56,0,Saturday
R00014,Patricia Thomas,DE,5,2023-12-27,18,179,4.78,2,Wednesday
R00014,Patricia Thomas,DE,4,2021-09-15,17,183,4.45,1,Wednesday
R00014,Patricia Thomas,DE,4,2021-09-20,16,230,4.78,1,Monday
R00014,Patricia Thomas,DE,5,2024-09-13,19,81,4.51,1,Friday
R00014,Patricia Thomas,DE,4,2023-09-01,12,229,4.47,2,Friday
R00015,Kimberly Hernandez,US,4,2022-06-27,17,168,5.39,3,Monday
R00015,Kimberly Hernandez,US,4,2023-12-17,13,125,5.21,1,Sunday
R00015,Kimberly Hernandez,US,4,2024-05-27,11,116,5.55,1,Monday
R00015,Kimberly Hernandez,US,4,2023-05-17,15,118,5.74,2,Wednesday
R00015,Kimberly Hernandez,US,4,2022-03-10,11,146,5.1,1,Thursday
R00015,Kimberly Hernandez,US,3,2024-01-10,18,116,5.48,4,Wednesday
R00015,Kimberly Hernandez,US,4,2022-02-16,15,107,5.44,3,Wednesday
R00015,Kimberly Hernandez,US,3,2022-10-01,18,95,5.51,2,Saturday
R00016,Betty Nelson,PH,5,2024-08-23,14,129,4.63,0,Friday
R00016,Betty Nelson,PH,4,2023-02-04,10,63,4.41,1,Saturday
R00016,Betty Nelson,PH,5,2023-06-17,10,101,4.73,2,Saturday
R00016,Betty Nelson,PH,4,2023-11-26,18,112,3.93,0,Sunday
R00016,Betty Nelson,PH,5,2023-07-14,11,67,5.11,1,Friday
R00016,Betty Nelson,PH,2,2021-09-05,17,145,4.6,1,Sunday
R00016,Betty Nelson,PH,5,2022-05-23,14,145,4.67,0,Monday
R00016,Betty Nelson,PH,3,2022-04-06,11,83,4.73,0,Wednesday
R00016,Betty Nelson,PH,5,2021-05-12,20,153,4.5,0,Wednesday
R00016,Betty Nelson,PH,2,2022-11-24,16,88,4.71,1,Thursday
R00016,Betty Nelson,PH,3,2021-02-13,9,140,4.67,2,Saturday
R00016,Betty Nelson,PH,5,2024-04-19,16,129,5.04,1,Friday
R00016,Betty Nelson,PH,5,2024-02-09,16,76,5.02,1,Friday
R00016,Betty Nelson,PH,4,2022-04-17,17,98,4.92,1,Sunday
R00016,Betty Nelson,PH,4,2024-04-20,15,95,5.34,0,Saturday
R00017,Joseph Smith,CA,1,2021-05-26,12,230,4.56,2,Wednesday
R00017,Joseph Smith,CA,2,2024-07-16,8,78,4.9,0,Tuesday
R00017,Joseph Smith,CA,1,2021-05-01,7,123,4.36,0,Saturday
R00017,Joseph Smith,CA,1,2022-04-14,9,124,4.94,2,Thursday
R00017,Joseph Smith,CA,1,2021-05-19,10,209,4.36,2,Wednesday
R00017,Joseph Smith,CA,1,2021-03-06,12,157,4.52,1,Saturday
R00017,Joseph Smith,CA,1,2022-11-08,10,111,4.75,0,Tuesday
R00017,Joseph Smith,CA,1,2021-05-26,11,203,4.91,1,Wednesday
R00017,Joseph Smith,CA,1,2023-11-19,8,208,4.77,1,Sunday
R00017,Joseph Smith,CA,2,2022-05-03,8,159,4.68,2,Tuesday
R00017,Joseph Smith,CA,1,2022-07-25,7,120,4.65,2,Monday
R00017,Joseph Smith,CA,1,2023-09-22,5,170,5.47,1,Friday
R00017,Joseph Smith,CA,2,2022-03-15,9,195,4.64,3,Tuesday
R00018,Paul Rodriguez,US,1,2024-03-15,7,105,5.16,0,Friday
R00018,Paul Rodriguez,US,2,2024-03-26,13,117,4.8,0,Tuesday
R00018,Paul Rodriguez,US,1,2023-08-27,7,110,4.98,1,Sunday
R00018,Paul Rodriguez,US,2,2022-05-13,10,167,5.39,1,Friday
R00018,Paul Rodriguez,US,1,2023-08-27,9,105,5.23,0,Sunday
R00018,Paul Rodriguez,US,2,2023-04-14,5,147,5.49,0,Friday
R00018,Paul Rodriguez,US,4,2022-01-25,6,108,4.99,2,Tuesday
R00018,Paul Rodriguez,US,1,2021-07-13,11,109,5.23,0,Tuesday
R00019,Michael Nelson,IN,3,2023-06-02,12,139,5.6,1,Friday
R00019,Michael Nelson,IN,3,2022-12-27,14,117,5.4,1,Tuesday
R00019,Michael Nelson,IN,3,2023-05-18,13,241,4.91,3,Thursday
R00019,Michael Nelson,IN,3,2023-04-22,13,167,4.89,1,Saturday
R00019,Michael Nelson,IN,3,2023-08-15,14,87,4.8,0,Tuesday
R00019,Michael Nelson,IN,3,2021-04-21,16,126,4.96,0,Wednesday
R00019,Michael Nelson,IN,3,2024-08-31,16,190,4.86,1,Saturday
R00020,Michelle Miller,US,5,2021-05-05,13,31,5.1,1,Wednesday
R00020,Michelle Miller,US,2,2023-04-05,15,71,4.57,0,Wednesday
R00020,Michelle Miller,US,5,2022-11-26,17,83,4.73,1,Saturday
R00020,Michelle Miller,US,3,2021-08-12,18,94,4.17,3,Thursday
R00020,Michelle Miller,US,4,2022-05-25,16,75,4.72,0,Wednesday
R00020,Michelle Miller,US,4,2022-01-28,19,78,4.57,1,Friday
R00020,Michelle Miller,US,5,2022-01-25,17,36,4.7,2,Tuesday
R00021,Paul Lewis,GB,4,2021-10-15,14,206,4.26,0,Friday
R00021,Paul Lewis,GB,4,2023-05-15,8,555,4.47,2,Monday
R00021,Paul Lewis,GB,4,2022-01-11,7,493,4.42,0,Tuesday
R00021,Paul Lewis,GB,4,2022-07-25,18,303,4.64,2,Monday
R00021,Paul Lewis,GB,4,2023-08-06,13,297,4.84,2,Sunday
R00021,Paul Lewis,GB,4,2022-05-27,8,442,4.88,2,Friday
R00021,Paul Lewis,GB,4,2021-06-04,7,273,4.55,0,Friday
R00021,Paul Lewis,GB,4,2023-06-27,12,253,5.14,2,Tuesday
R00022,Stephanie Scott,GB,2,2021-07-20,17,299,3.98,1,Tuesday
R00022,Stephanie Scott,GB,3,2021-04-14,13,313,4.16,0,Wednesday
R00022,Stephanie Scott,GB,2,2024-08-28,18,274,3.91,0,Wednesday
R00022,Stephanie Scott,GB,3,2024-01-13,16,263,4.2,0,Saturday
R00022,Stephanie Scott,GB,3,2021-01-31,15,298,3.83,1,Sunday
R00022,Stephanie Scott,GB,2,2021-07-11,17,241,4.54,0,Sunday
R00022,Stephanie Scott,GB,3,2022-04-30,14,316,4.13,0,Saturday
R00022,Stephanie Scott,GB,2,2021-12-07,16,291,4.11,1,Tuesday
R00022,Stephanie Scott,GB,3,2023-04-13,12,267,4.33,0,Thursday
R00022,Stephanie Scott,GB,2,2023-09-22,12,548,4.12,0,Friday
R00022,Stephanie Scott,GB,3,2023-09-13,13,240,4.15,0,Wednesday
R00022,Stephanie Scott,GB,4,2022-03-14,14,332,4.21,0,Monday
R00022,Stephanie Scott,GB,4,2023-04-02,13,39,4.23,0,Sunday
R00022,Stephanie Scott,GB,3,2021-05-01,18,219,3.88,0,Saturday
R00022,Stephanie Scott,GB,3,2021-12-04,15,449,3.9,0,Saturday
R00022,Stephanie Scott,GB,2,2023-02-16,17,244,3.66,2,Thursday
R00022,Stephanie Scott,GB,3,2021-01-05,14,168,4.36,0,Tuesday
R00022,Stephanie Scott,GB,3,2023-03-11,13,317,4.41,0,Saturday
R00022,Stephanie Scott,GB,3,2022-06-28,15,180,4.37,0,Tuesday
R00023,Edward Robinson,GB,2,2022-08-08,10,68,5.09,0,Monday
R00023,Edward Robinson,GB,5,2023-05-17,8,63,5.28,3,Wednesday
R00023,Edward Robinson,GB,1,2024-02-13,13,59,5.15,0,Tuesday
R00023,Edward Robinson,GB,2,2023-09-24,11,97,4.93,1,Sunday
R00023,Edward Robinson,GB,1,2021-11-14,14,68,4.95,2,Sunday
R00023,Edward Robinson,GB,4,2022-01-24,11,22,4.68,2,Monday
R00023,Edward Robinson,GB,3,2022-08-31,9,52,4.74,1,Wednesday
R00023,Edward Robinson,GB,3,2022-03-22,17,34,5.23,3,Tuesday
R00023,Edward Robinson,GB,3,2021-04-30,9,85,4.52,0,Friday
R00023,Edward Robinson,GB,3,2024-04-01,11,74,4.72,0,Monday
R00023,Edward Robinson,GB,4,2024-01-16,16,26,4.9,0,Tuesday
R00023,Edward Robinson,GB,3,2021-05-05,13,69,5.01,2,Wednesday
R00023,Edward Robinson,GB,3,2022-10-05,14,44,4.9,1,Wednesday
R00023,Edward Robinson,GB,3,2021-04-28,16,68,4.84,0,Wednesday
R00023,Edward Robinson,GB,2,2021-04-13,11,69,4.92,0,Tuesday
R00023,Edward Robinson,GB,2,2024-04-11,15,66,4.95,1,Thursday
R00023,Edward Robinson,GB,4,2023-09-04,10,75,4.74,0,Monday
R00024,Andrew King,CA,2,2021-11-19,5,150,5.22,0,Friday
R00024,Andrew King,CA,2,2021-04-27,7,213,5.28,0,Tuesday
R00024,Andrew King,CA,2,2023-11-07,6,205,4.39,0,Tuesday
R00024,Andrew King,CA,2,2021-06-14,10,141,5.47,0,Monday
R00024,Andrew King,CA,2,2022-01-16,10,220,5.69,0,Sunday
R00024,Andrew King,CA,2,2021-05-21,3,159,5.12,0,Friday
R00024,Andrew King,CA,2,2024-05-03,6,184,5.21,0,Friday
R00024,Andrew King,CA,2,2021-05-20,5,149,5.07,0,Thursday
R00024,Andrew King,CA,2,2022-04-27,5,125,4.78,0,Wednesday
R00024,Andrew King,CA,2,2023-04-07,3,126,5.14,0,Friday
R00024,Andrew King,CA,2,2021-09-03,5,122,5.3,0,Friday
R00024,Andrew King,CA,2,2024-03-12,7,149,4.97,0,Tuesday
R00024,Andrew King,CA,2,2022-05-20,5,120,5.52,0,Friday
R00024,Andrew King,CA,2,2024-03-31,5,127,4.79,0,Sunday
R00025,Kenneth Williams,JP,1,2024-06-22,13,101,4.9,0,Saturday
R00025,Kenneth Williams,JP,2,2021-06-17,15,144,5.22,1,Thursday
R00025,Kenneth Williams,JP,1,2023-05-09,17,117,5.06,0,Tuesday
R00025,Kenneth Williams,JP,1,2024-09-08,15,104,4.81,1,Sunday
R00025,Kenneth Williams,JP,1,2024-04-10,15,110,4.57,1,Wednesday
R00025,Kenneth Williams,JP,2,2024-03-03,16,85,5.41,1,Sunday
R00025,Kenneth Williams,JP,2,2023-12-07,14,150,4.8,4,Thursday
R00025,Kenneth Williams,JP,1,2022-10-10,18,156,5.11,1,Monday
R00025,Kenneth Williams,JP,1,2022-06-19,12,75,4.74,0,Sunday
R00025,Kenneth Williams,JP,2,2022-02-23,18,87,4.81,1,Wednesday
R00025,Kenneth Williams,JP,2,2022-10-06,19,66,4.7,3,Thursday
R00026,Jessica Taylor,GB,3,2023-03-22,14,118,4.72,1,Wednesday
R00026,Jessica Taylor,GB,4,2021-09-26,10,110,5.28,2,Sunday
R00026,Jessica Taylor,GB,5,2024-08-14,10,78,4.38,2,Wednesday
R00026,Jessica Taylor,GB,2,2022-09-07,10,114,5.38,1,Wednesday
R00026,Jessica Taylor,GB,2,2023-07-26,13,168,4.39,1,Wednesday
R00026,Jessica Taylor,GB,4,2022-10-10,16,58,4.83,2,Monday
R00026,Jessica Taylor,GB,4,2021-05-29,11,115,4.56,2,Saturday
R00026,Jessica Taylor,GB,5,2021-01-20,12,105,5.09,1,Wednesday
R00026,Jessica Taylor,GB,3,2023-07-28,10,85,4.58,1,Friday
R00026,Jessica Taylor,GB,5,2024-06-26,13,113,4.74,2,Wednesday
R00027,Joshua Miller,ES,4,2021-05-31,6,431,5.03,0,Monday
R00027,Joshua Miller,ES,3,2024-01-07,2,272,4.96,0,Sunday
R00027,Joshua Miller,ES,3,2022-03-13,10,387,4.91,0,Sunday
R00027,Joshua Miller,ES,4,2023-11-03,10,455,4.91,1,Friday
R00027,Joshua Miller,ES,4,2022-06-28,4,319,4.47,0,Tuesday
R00027,Joshua Miller,ES,4,2021-09-29,5,346,4.66,1,Wednesday
R00027,Joshua Miller,ES,4,2022-12-16,9,288,4.63,0,Friday
R00027,Joshua Miller,ES,4,2021-05-21,11,173,4.47,0,Friday
R00027,Joshua Miller,ES,4,2022-05-16,5,320,4.91,1,Monday
R00027,Joshua Miller,ES,3,2023-01-27,7,343,4.7,1,Friday
R00027,Joshua Miller,ES,3,2022-08-07,8,336,5.0,0,Sunday
R00027,Joshua Miller,ES,4,2021-11-20,12,356,4.55,0,Saturday
R00027,Joshua Miller,ES,4,2023-06-17,9,359,5.11,0,Saturday
R00027,Joshua Miller,ES,4,2024-01-18,5,333,4.17,0,Thursday
R00027,Joshua Miller,ES,4,2022-09-12,4,272,4.7,0,Monday
R00027,Joshua Miller,ES,3,2024-06-06,8,418,4.44,0,Thursday
R00027,Joshua Miller,ES,3,2024-09-01,4,409,4.55,0,Sunday
R00027,Joshua Miller,ES,4,2023-12-20,8,421,4.66,0,Wednesday
R00028,James Nelson,SE,4,2024-02-10,10,102,5.18,0,Saturday
R00028,James Nelson,SE,3,2022-09-06,7,30,4.9,0,Tuesday
R00028,James Nelson,SE,3,2021-08-01,16,89,4.94,0,Sunday
R00028,James Nelson,SE,4,2021-10-03,15,96,5.26,0,Sunday
R00028,James Nelson,SE,3,2022-06-26,9,86,5.44,0,Sunday
R00028,James Nelson,SE,4,2021-08-25,8,147,4.79,1,Wednesday
R00028,James Nelson,SE,4,2021-08-08,10,93,5.07,0,Sunday
R00029,Melissa Scott,AU,2,2021-11-15,10,132,3.96,2,Monday
R00029,Melissa Scott,AU,2,2022-07-12,13,113,3.33,0,Tuesday
R00029,Melissa Scott,AU,2,2022-08-01,10,44,3.58,1,Monday
R00029,Melissa Scott,AU,2,2024-05-23,8,153,3.7,2,Thursday
R00029,Melissa Scott,AU,2,2022-03-08,8,120,4.0,0,Tuesday
R00029,Melissa Scott,AU,2,2022-12-04,12,119,3.3,1,Sunday
R00029,Melissa Scott,AU,2,2022-02-21,9,142,3.92,1,Monday
R00029,Melissa Scott,AU,2,2024-07-22,15,82,3.75,2,Monday
R00029,Melissa Scott,AU,2,2022-06-25,11,115,3.55,1,Saturday
R00029,Melissa Scott,AU,2,2023-11-02,16,65,3.56,2,Thursday
R00029,Melissa Scott,AU,2,2023-09-28,10,211,3.0,1,Thursday
R00029,Melissa Scott,AU,2,2022-05-30,9,144,3.61,2,Monday
R00030,Jeffrey Brown,ES,3,2021-07-09,18,176,5.11,0,Friday
R00030,Jeffrey Brown,ES,3,2024-07-23,13,119,4.89,0,Tuesday
R00030,Jeffrey Brown,ES,4,2023-05-18,9,221,5.16,1,Thursday
R00030,Jeffrey Brown,ES,3,2022-07-21,11,183,5.52,0,Thursday
R00030,Jeffrey Brown,ES,3,2021-04-01,10,99,4.49,2,Thursday
R00030,Jeffrey Brown,ES,3,2021-01-08,7,243,4.69,0,Friday
R00030,Jeffrey Brown,ES,3,2022-11-15,17,117,4.68,1,Tuesday
R00030,Jeffrey Brown,ES,3,2021-09-25,8,189,4.96,0,Saturday
R00030,Jeffrey Brown,ES,3,2024-07-28,13,220,5.49,0,Sunday
R00030,Jeffrey Brown,ES,3,2022-06-21,10,241,5.13,2,Tuesday
R00030,Jeffrey Brown,ES,3,2021-11-27,12,272,4.46,0,Saturday
R00030,Jeffrey Brown,ES,3,2023-06-24,11,129,4.78,0,Saturday
R00030,Jeffrey Brown,ES,3,2024-02-04,5,198,5.03,0,Sunday
R00030,Jeffrey Brown,ES,3,2023-05-26,16,228,4.61,1,Friday
R00030,Jeffrey Brown,ES,3,2024-02-23,11,93,5.1,0,Friday
R00031,James Davis,PH,1,2021-06-04,11,294,4.15,3,Friday
R00031,James Davis,PH,1,2021-11-02,13,244,3.98,1,Tuesday
R00031,James Davis,PH,1,2024-01-23,14,285,3.77,0,Tuesday
R00031,James Davis,PH,1,2021-03-15,12,241,3.94,1,Monday
